Sample	Sample	Temperature	CUE	Time	Mass	uM 	uM/mass
15_15C_T1	15	15C	Low	T1	0.50025	1.91	3.818090955
19_15C_T1	19	15C	Low	T1	0.49585	7.4	14.92386811
20_15C_T1	20	15C	High	T1	0.50386	1.06	2.103758981
23_15C_T1	23	15C	Low	T1	0.4978	2.83	5.685014062
25_15C_T1	25	15C	Low	T1	0.49898	0.94	1.88384304
26_15C_T1	26	15C	Low	T1	0.50008	3.16	6.318988962
27_15C_T1	27	15C	High	T1	0.50188	4.37	8.7072607
30_15C_T1	30	15C	High	T1	0.50255	2.47	4.914933837
31_15C_T1	31	15C	Mid	T1	0.49983	1.56	3.121061161
32_15C_T1	32	15C	Low	T1	0.50228	5.32	10.59170184
37_15C_T1	37	15C	High	T1	0.50428	4.07	8.070912985
42_15C_T1	42	15C	High	T1	0.50303	2.42	4.810846272
43_15C_T1	43	15C	High	T1	0.50188	8.16	16.25886666
46_15C_T1	46	15C	High	T1	0.49761	3.45	6.933140411
48_15C_T1	48	15C	Mid	T1	0.50061	2.51	5.013883063
52_15C_T1	52	15C	Low	T1	0.50105	6.48	12.93284103
54_15C_T1	54	15C	High	T1	0.50371	2.09	4.149212841
72_15C_T1	72	15C	Mid	T1	0.5001	3.32	6.638672266
74_15C_T1	74	15C	Mid	T1	0.50268	10.22	20.3310257
76_15C_T1	76	15C	Low	T1	0.50431	0.82	1.625984018
79_15C_T1	79	15C	High	T1	0.49929	1.92	3.845460554
17_15C_T1	17	15C	Mid	T1	0.50266	6.61	13.15004178
82_15C_T1	82	15C	Mid	T1	0.49567	1.41	2.844634535
92_15C_T1	92	15C	Low	T1	0.50032	4.96	9.913655261
94_15C_T1	94	15C	Mid	T1	0.50227	3.45	6.868815577
96_15C_T1	96	15C	Mid	T1	0.49709	13.03	26.21255708
104_15C_T1	104	15C	Low	T1	0.49642	5	10.07211635
107_15C_T1	107	15C	Mid	T1	0.49683	6.48	13.04269066
114_15C_T1	114	15C	Mid	T1	0.5032	5.13	10.19475358
118_15C_T1	118	15C	High	T1	0.49991	1.29	2.580464484
B1_15C_T1	B1	15C	Blank	T1	0.5003	0	0
B2_15C_T1	B2	15C	Blank	T1	0.49909	0	0
