"formula","Incubation_Temp","A_priori_CUE"
"C9H14O5","45C","Low"
"C10H18O4","15C","High"
"C10H18O4","25C","High"
"C10H18O4","45C","High"
"C10H18O4","45C","Low"
"C9H16O5","25C","High"
"C10H20O4","15C","High"
"C10H20O4","15C","Low"
"C10H20O4","25C","High"
"C10H20O4","25C","Low"
"C10H20O4","45C","High"
"C10H20O4","45C","Low"
"C14H22O1","45C","High"
"C11H14O4","15C","High"
"C11H14O4","15C","Low"
"C11H14O4","25C","High"
"C11H14O4","25C","Low"
"C11H14O4","45C","High"
"C11H14O4","45C","Low"
"C11H16O4","15C","High"
"C11H16O4","15C","Low"
"C11H16O4","25C","High"
"C11H16O4","25C","Low"
"C11H16O4","45C","High"
"C11H16O4","45C","Low"
"C12H20O3","45C","High"
"C10H14O5","15C","High"
"C10H14O5","15C","Low"
"C10H14O5","25C","High"
"C10H14O5","25C","Low"
"C10H14O5","45C","High"
"C10H14O5","45C","Low"
"C11H18O4","15C","High"
"C11H18O4","15C","Low"
"C11H18O4","25C","High"
"C11H18O4","25C","Low"
"C11H18O4","45C","High"
"C11H18O4","45C","Low"
"C10H16O5","15C","High"
"C10H16O5","25C","High"
"C10H16O5","25C","Low"
"C10H16O5","45C","High"
"C10H16O5","45C","Low"
"C11H20O4","15C","High"
"C11H20O4","15C","Low"
"C11H20O4","25C","High"
"C11H20O4","25C","Low"
"C11H20O4","45C","High"
"C11H20O4","45C","Low"
"C10H18O5","15C","High"
"C10H18O5","15C","Low"
"C10H18O5","25C","High"
"C10H18O5","25C","Low"
"C10H18O5","45C","High"
"C10H18O5","45C","Low"
"C13H18O3","15C","High"
"C13H18O3","25C","High"
"C13H18O3","45C","High"
"C13H18O3","45C","Low"
"C12H16O4","15C","High"
"C12H16O4","45C","High"
"C13H20O3","15C","High"
"C13H20O3","25C","High"
"C13H20O3","45C","High"
"C13H20O3","45C","Low"
"C10H10O6","45C","High"
"C11H14O5","45C","High"
"C12H18O4","15C","High"
"C12H18O4","25C","High"
"C12H18O4","25C","Low"
"C12H18O4","45C","High"
"C12H18O4","45C","Low"
"C13H22O3","15C","High"
"C13H22O3","45C","High"
"C11H16O5","15C","High"
"C11H16O5","15C","Low"
"C11H16O5","25C","High"
"C11H16O5","25C","Low"
"C11H16O5","45C","High"
"C11H16O5","45C","Low"
"C12H20O4","15C","High"
"C12H20O4","15C","Low"
"C12H20O4","25C","High"
"C12H20O4","25C","Low"
"C12H20O4","45C","High"
"C12H20O4","45C","Low"
"C14H28O2","15C","High"
"C14H28O2","15C","Low"
"C14H28O2","25C","High"
"C14H28O2","25C","Low"
"C14H28O2","45C","High"
"C14H28O2","45C","Low"
"C11H18O5","15C","High"
"C11H18O5","25C","High"
"C11H18O5","25C","Low"
"C11H18O5","45C","High"
"C11H18O5","45C","Low"
"C12H22O4","15C","High"
"C12H22O4","25C","High"
"C12H22O4","45C","High"
"C10H16O6","25C","High"
"C10H16O6","45C","High"
"C10H16O6","45C","Low"
"C11H20O5","15C","High"
"C11H20O5","15C","Low"
"C11H20O5","25C","High"
"C11H20O5","25C","Low"
"C11H20O5","45C","High"
"C11H20O5","45C","Low"
"C12H24O4","25C","High"
"C11H22O5","45C","High"
"C11H22O5","45C","Low"
"C12H14O5","45C","Low"
"C12H14O5","45C","High"
"C13H18O4","15C","High"
"C13H18O4","25C","High"
"C13H18O4","25C","Low"
"C13H18O4","45C","High"
"C13H18O4","45C","Low"
"C14H22O3","15C","Low"
"C14H22O3","15C","High"
"C14H22O3","25C","High"
"C14H22O3","25C","Low"
"C14H22O3","45C","High"
"C14H22O3","45C","Low"
"C12H16O5","15C","High"
"C12H16O5","25C","High"
"C12H16O5","45C","High"
"C13H20O4","15C","High"
"C13H20O4","15C","Low"
"C13H20O4","25C","High"
"C13H20O4","25C","Low"
"C13H20O4","45C","High"
"C13H20O4","45C","Low"
"C11H14O6","45C","Low"
"C12H18O5","15C","High"
"C12H18O5","15C","Low"
"C12H18O5","25C","High"
"C12H18O5","25C","Low"
"C12H18O5","45C","High"
"C12H18O5","45C","Low"
"C13H22O4","15C","High"
"C13H22O4","15C","Low"
"C13H22O4","25C","High"
"C13H22O4","25C","Low"
"C13H22O4","45C","High"
"C13H22O4","45C","Low"
"C13H25O3N1","45C","High"
"C11H16O6","15C","High"
"C11H16O6","15C","Low"
"C11H16O6","25C","High"
"C11H16O6","25C","Low"
"C11H16O6","45C","High"
"C11H16O6","45C","Low"
"C12H20O5","15C","High"
"C12H20O5","15C","Low"
"C12H20O5","25C","High"
"C12H20O5","25C","Low"
"C12H20O5","45C","High"
"C12H20O5","45C","Low"
"C13H24O4","15C","Low"
"C13H24O4","15C","High"
"C13H24O4","25C","High"
"C13H24O4","45C","High"
"C13H24O4","45C","Low"
"C11H18O6","15C","High"
"C11H18O6","15C","Low"
"C11H18O6","25C","High"
"C11H18O6","25C","Low"
"C11H18O6","45C","High"
"C11H18O6","45C","Low"
"C12H22O5","15C","High"
"C12H22O5","15C","Low"
"C12H22O5","25C","High"
"C12H22O5","25C","Low"
"C12H22O5","45C","High"
"C12H22O5","45C","Low"
"C13H26O4","25C","High"
"C13H26O4","45C","High"
"C13H26O4","45C","Low"
"C11H20O6","15C","High"
"C11H20O6","15C","Low"
"C11H20O6","25C","Low"
"C11H20O6","25C","High"
"C11H20O6","45C","High"
"C11H20O6","45C","Low"
"C12H24O5","25C","High"
"C12H24O5","45C","High"
"C12H24O5","45C","Low"
"C15H22O3","15C","Low"
"C15H22O3","15C","High"
"C15H22O3","25C","Low"
"C15H22O3","25C","High"
"C15H22O3","45C","High"
"C15H22O3","45C","Low"
"C13H16O5","15C","Low"
"C13H16O5","15C","High"
"C13H16O5","25C","High"
"C13H16O5","25C","Low"
"C13H16O5","45C","High"
"C13H16O5","45C","Low"
"C14H20O4","15C","High"
"C14H20O4","25C","High"
"C14H20O4","25C","Low"
"C14H20O4","45C","High"
"C14H20O4","45C","Low"
"C15H24O3","15C","High"
"C15H24O3","15C","Low"
"C15H24O3","25C","High"
"C15H24O3","25C","Low"
"C15H24O3","45C","High"
"C15H24O3","45C","Low"
"C12H14O6","45C","Low"
"C13H18O5","15C","High"
"C13H18O5","25C","High"
"C13H18O5","45C","High"
"C13H18O5","45C","Low"
"C14H22O4","15C","High"
"C14H22O4","25C","High"
"C14H22O4","25C","Low"
"C14H22O4","45C","High"
"C14H22O4","45C","Low"
"C12H16O6","15C","High"
"C12H16O6","15C","Low"
"C12H16O6","25C","High"
"C12H16O6","25C","Low"
"C12H16O6","45C","High"
"C12H16O6","45C","Low"
"C13H20O5","15C","High"
"C13H20O5","15C","Low"
"C13H20O5","25C","High"
"C13H20O5","25C","Low"
"C13H20O5","45C","High"
"C13H20O5","45C","Low"
"C14H24O4","15C","High"
"C14H24O4","25C","High"
"C14H24O4","25C","Low"
"C14H24O4","45C","High"
"C14H24O4","45C","Low"
"C16H32O2","15C","High"
"C16H32O2","15C","Low"
"C16H32O2","25C","High"
"C16H32O2","25C","Low"
"C16H32O2","45C","High"
"C16H32O2","45C","Low"
"C12H18O6","15C","High"
"C12H18O6","15C","Low"
"C12H18O6","25C","High"
"C12H18O6","25C","Low"
"C12H18O6","45C","High"
"C12H18O6","45C","Low"
"C13H22O5","15C","High"
"C13H22O5","15C","Low"
"C13H22O5","25C","High"
"C13H22O5","25C","Low"
"C13H22O5","45C","High"
"C13H22O5","45C","Low"
"C14H26O4","15C","High"
"C14H26O4","15C","Low"
"C14H26O4","25C","High"
"C14H26O4","25C","Low"
"C14H26O4","45C","High"
"C14H26O4","45C","Low"
"C12H20O6","15C","High"
"C12H20O6","25C","High"
"C12H20O6","25C","Low"
"C12H20O6","45C","High"
"C12H20O6","45C","Low"
"C13H24O5","15C","Low"
"C13H24O5","15C","High"
"C13H24O5","25C","Low"
"C13H24O5","25C","High"
"C13H24O5","45C","High"
"C13H24O5","45C","Low"
"C14H28O4","25C","High"
"C14H28O4","45C","High"
"C14H28O4","45C","Low"
"C15H18O4","15C","High"
"C12H22O6","15C","High"
"C12H22O6","15C","Low"
"C12H22O6","25C","High"
"C12H22O6","25C","Low"
"C12H22O6","45C","High"
"C12H22O6","45C","Low"
"C13H26O5","45C","High"
"C15H20O4","15C","High"
"C15H20O4","25C","High"
"C15H20O4","25C","Low"
"C15H20O4","45C","High"
"C15H20O4","45C","Low"
"C14H19O4N1","45C","High"
"C14H18O5","15C","High"
"C14H18O5","15C","Low"
"C14H18O5","25C","High"
"C14H18O5","25C","Low"
"C14H18O5","45C","High"
"C14H18O5","45C","Low"
"C15H22O4","15C","High"
"C15H22O4","45C","High"
"C13H16O6","15C","High"
"C13H16O6","25C","High"
"C13H16O6","25C","Low"
"C13H16O6","45C","High"
"C13H16O6","45C","Low"
"C14H20O5","15C","High"
"C14H20O5","15C","Low"
"C14H20O5","25C","High"
"C14H20O5","25C","Low"
"C14H20O5","45C","High"
"C14H20O5","45C","Low"
"C15H24O4","15C","High"
"C15H24O4","15C","Low"
"C15H24O4","25C","High"
"C15H24O4","25C","Low"
"C15H24O4","45C","High"
"C15H24O4","45C","Low"
"C13H18O6","15C","High"
"C13H18O6","15C","Low"
"C13H18O6","25C","High"
"C13H18O6","25C","Low"
"C13H18O6","45C","High"
"C13H18O6","45C","Low"
"C14H22O5","15C","High"
"C14H22O5","15C","Low"
"C14H22O5","25C","High"
"C14H22O5","25C","Low"
"C14H22O5","45C","High"
"C14H22O5","45C","Low"
"C17H34O2","15C","High"
"C17H34O2","25C","High"
"C17H34O2","45C","High"
"C17H34O2","45C","Low"
"C13H20O6","15C","High"
"C13H20O6","15C","Low"
"C13H20O6","25C","High"
"C13H20O6","25C","Low"
"C13H20O6","45C","High"
"C13H20O6","45C","Low"
"C14H24O5","15C","High"
"C14H24O5","15C","Low"
"C14H24O5","25C","High"
"C14H24O5","25C","Low"
"C14H24O5","45C","High"
"C14H24O5","45C","Low"
"C15H28O4","15C","High"
"C15H28O4","25C","High"
"C15H28O4","45C","High"
"C16H32O3","15C","High"
"C16H32O3","15C","Low"
"C16H32O3","25C","High"
"C16H32O3","25C","Low"
"C16H32O3","45C","High"
"C16H32O3","45C","Low"
"C12H18O7","15C","Low"
"C12H18O7","25C","High"
"C12H18O7","25C","Low"
"C12H18O7","45C","High"
"C12H18O7","45C","Low"
"C13H22O6","15C","High"
"C13H22O6","15C","Low"
"C13H22O6","25C","High"
"C13H22O6","25C","Low"
"C13H22O6","45C","High"
"C13H22O6","45C","Low"
"C14H26O5","15C","High"
"C14H26O5","15C","Low"
"C14H26O5","25C","High"
"C14H26O5","25C","Low"
"C14H26O5","45C","High"
"C14H26O5","45C","Low"
"C15H30O4","15C","High"
"C15H30O4","25C","High"
"C15H30O4","45C","High"
"C15H30O4","45C","Low"
"C12H20O7","15C","High"
"C12H20O7","25C","High"
"C12H20O7","45C","Low"
"C12H20O7","45C","High"
"C16H20O4","15C","Low"
"C16H20O4","25C","High"
"C16H20O4","25C","Low"
"C16H20O4","45C","High"
"C13H24O6","15C","High"
"C13H24O6","15C","Low"
"C13H24O6","25C","High"
"C13H24O6","25C","Low"
"C13H24O6","45C","High"
"C13H24O6","45C","Low"
"C15H18O5","15C","High"
"C15H18O5","15C","Low"
"C15H18O5","25C","High"
"C15H18O5","25C","Low"
"C15H18O5","45C","High"
"C15H18O5","45C","Low"
"C16H22O4","15C","Low"
"C16H22O4","15C","High"
"C16H22O4","25C","High"
"C16H22O4","25C","Low"
"C16H22O4","45C","High"
"C16H22O4","45C","Low"
"C15H20O5","45C","High"
"C18H32O2","15C","High"
"C18H32O2","15C","Low"
"C18H32O2","25C","High"
"C18H32O2","25C","Low"
"C18H32O2","45C","Low"
"C18H32O2","45C","High"
"C14H18O6","15C","High"
"C14H18O6","15C","Low"
"C14H18O6","25C","High"
"C14H18O6","25C","Low"
"C14H18O6","45C","High"
"C14H18O6","45C","Low"
"C15H22O5","15C","High"
"C15H22O5","45C","High"
"C16H26O4","15C","High"
"C16H26O4","15C","Low"
"C16H26O4","25C","High"
"C16H26O4","25C","Low"
"C16H26O4","45C","High"
"C16H26O4","45C","Low"
"C18H34O2","15C","High"
"C18H34O2","15C","Low"
"C18H34O2","25C","High"
"C18H34O2","25C","Low"
"C18H34O2","45C","High"
"C18H34O2","45C","Low"
"C14H20O6","15C","High"
"C14H20O6","15C","Low"
"C14H20O6","25C","High"
"C14H20O6","25C","Low"
"C14H20O6","45C","High"
"C14H20O6","45C","Low"
"C15H24O5","15C","Low"
"C15H24O5","15C","High"
"C15H24O5","25C","Low"
"C15H24O5","25C","High"
"C15H24O5","45C","Low"
"C15H24O5","45C","High"
"C16H28O4","15C","High"
"C16H28O4","15C","Low"
"C16H28O4","25C","High"
"C16H28O4","45C","High"
"C16H28O4","45C","Low"
"C18H36O2","15C","High"
"C18H36O2","15C","Low"
"C18H36O2","25C","High"
"C18H36O2","25C","Low"
"C18H36O2","45C","High"
"C18H36O2","45C","Low"
"C13H18O7","15C","Low"
"C13H18O7","25C","High"
"C13H18O7","25C","Low"
"C13H18O7","45C","Low"
"C13H18O7","45C","High"
"C14H22O6","15C","High"
"C14H22O6","25C","High"
"C14H22O6","45C","High"
"C15H26O5","45C","High"
"C16H30O4","15C","High"
"C16H30O4","15C","Low"
"C16H30O4","25C","High"
"C16H30O4","25C","Low"
"C16H30O4","45C","High"
"C16H30O4","45C","Low"
"C13H20O7","15C","High"
"C13H20O7","15C","Low"
"C13H20O7","25C","High"
"C13H20O7","25C","Low"
"C13H20O7","45C","High"
"C13H20O7","45C","Low"
"C15H28O5","15C","Low"
"C15H28O5","25C","Low"
"C15H28O5","25C","High"
"C15H28O5","45C","Low"
"C15H28O5","45C","High"
"C16H32O4","25C","High"
"C16H32O4","45C","Low"
"C16H32O4","45C","High"
"C13H22O7","15C","High"
"C13H22O7","15C","Low"
"C13H22O7","25C","High"
"C13H22O7","25C","Low"
"C13H22O7","45C","High"
"C13H22O7","45C","Low"
"C17H22O4","15C","Low"
"C14H26O6","25C","Low"
"C15H30O5","45C","High"
"C16H20O5","15C","Low"
"C16H20O5","15C","High"
"C16H20O5","25C","High"
"C16H20O5","25C","Low"
"C16H20O5","45C","High"
"C13H24O7","45C","High"
"C17H24O4","15C","High"
"C17H24O4","15C","Low"
"C17H24O4","25C","High"
"C17H24O4","25C","Low"
"C17H24O4","45C","High"
"C17H24O4","45C","Low"
"C15H18O6","25C","High"
"C15H18O6","25C","Low"
"C15H18O6","45C","High"
"C15H18O6","45C","Low"
"C16H22O5","15C","High"
"C16H22O5","15C","Low"
"C16H22O5","25C","High"
"C16H22O5","25C","Low"
"C16H22O5","45C","High"
"C16H22O5","45C","Low"
"C17H26O4","45C","High"
"C15H20O6","15C","High"
"C15H20O6","15C","Low"
"C15H20O6","25C","High"
"C15H20O6","25C","Low"
"C15H20O6","45C","High"
"C15H20O6","45C","Low"
"C17H28O4","15C","High"
"C17H28O4","15C","Low"
"C17H28O4","25C","High"
"C17H28O4","25C","Low"
"C17H28O4","45C","High"
"C17H28O4","45C","Low"
"C18H32O3","45C","Low"
"C14H18O7","15C","High"
"C14H18O7","25C","High"
"C15H22O6","25C","Low"
"C16H26O5","15C","High"
"C16H26O5","15C","Low"
"C16H26O5","25C","High"
"C16H26O5","25C","Low"
"C16H26O5","45C","High"
"C16H26O5","45C","Low"
"C17H30O4","15C","High"
"C17H30O4","25C","High"
"C17H30O4","25C","Low"
"C17H30O4","45C","High"
"C17H30O4","45C","Low"
"C18H34O3","15C","High"
"C18H34O3","15C","Low"
"C18H34O3","25C","High"
"C18H34O3","25C","Low"
"C18H34O3","45C","High"
"C18H34O3","45C","Low"
"C19H38O2","45C","Low"
"C19H38O2","45C","High"
"C13H16O8","25C","High"
"C14H20O7","15C","High"
"C14H20O7","15C","Low"
"C14H20O7","25C","High"
"C14H20O7","25C","Low"
"C14H20O7","45C","High"
"C14H20O7","45C","Low"
"C15H24O6","15C","High"
"C15H24O6","15C","Low"
"C15H24O6","25C","High"
"C15H24O6","25C","Low"
"C15H24O6","45C","High"
"C15H24O6","45C","Low"
"C16H28O5","15C","High"
"C16H28O5","25C","High"
"C16H28O5","45C","High"
"C17H32O4","25C","High"
"C17H32O4","45C","High"
"C17H32O4","45C","Low"
"C18H36O3","15C","High"
"C18H36O3","15C","Low"
"C18H36O3","25C","High"
"C18H36O3","25C","Low"
"C18H36O3","45C","High"
"C18H36O3","45C","Low"
"C14H22O7","15C","High"
"C14H22O7","15C","Low"
"C14H22O7","25C","High"
"C14H22O7","25C","Low"
"C14H22O7","45C","High"
"C14H22O7","45C","Low"
"C15H26O6","15C","Low"
"C15H26O6","25C","Low"
"C16H30O5","15C","High"
"C16H30O5","15C","Low"
"C16H30O5","25C","High"
"C16H30O5","25C","Low"
"C16H30O5","45C","High"
"C16H30O5","45C","Low"
"C20H30O2","15C","High"
"C20H30O2","45C","High"
"C20H30O2","45C","Low"
"C17H20O5","15C","Low"
"C17H20O5","25C","High"
"C14H24O7","15C","High"
"C14H24O7","15C","Low"
"C14H24O7","25C","High"
"C14H24O7","25C","Low"
"C14H24O7","45C","High"
"C14H24O7","45C","Low"
"C17H22O5","15C","Low"
"C17H22O5","25C","High"
"C17H22O5","25C","Low"
"C17H22O5","45C","High"
"C17H22O5","45C","Low"
"C14H26O7","15C","Low"
"C14H26O7","15C","High"
"C14H26O7","25C","High"
"C14H26O7","25C","Low"
"C14H26O7","45C","High"
"C14H26O7","45C","Low"
"C15H30O6","25C","High"
"C15H30O6","45C","High"
"C15H30O6","45C","Low"
"C16H20O6","15C","Low"
"C16H20O6","25C","High"
"C16H20O6","25C","Low"
"C16H20O6","45C","High"
"C16H20O6","45C","Low"
"C17H24O5","15C","High"
"C17H24O5","15C","Low"
"C17H24O5","25C","High"
"C17H24O5","25C","Low"
"C17H24O5","45C","High"
"C17H24O5","45C","Low"
"C18H28O4","15C","High"
"C18H28O4","15C","Low"
"C18H28O4","25C","High"
"C18H28O4","25C","Low"
"C18H28O4","45C","High"
"C18H28O4","45C","Low"
"C19H32O3","45C","Low"
"C15H18O7","45C","Low"
"C16H22O6","15C","High"
"C16H22O6","15C","Low"
"C16H22O6","25C","High"
"C16H22O6","25C","Low"
"C16H22O6","45C","High"
"C16H22O6","45C","Low"
"C17H26O5","15C","High"
"C17H26O5","15C","Low"
"C17H26O5","25C","High"
"C17H26O5","25C","Low"
"C17H26O5","45C","High"
"C17H26O5","45C","Low"
"C18H30O4","15C","High"
"C18H30O4","15C","Low"
"C18H30O4","25C","High"
"C18H30O4","25C","Low"
"C18H30O4","45C","High"
"C18H30O4","45C","Low"
"C15H20O7","15C","High"
"C15H20O7","15C","Low"
"C15H20O7","25C","High"
"C15H20O7","25C","Low"
"C15H20O7","45C","High"
"C15H20O7","45C","Low"
"C16H24O6","15C","High"
"C16H24O6","15C","Low"
"C16H24O6","25C","High"
"C16H24O6","25C","Low"
"C16H24O6","45C","High"
"C16H24O6","45C","Low"
"C17H28O5","15C","High"
"C17H28O5","15C","Low"
"C17H28O5","25C","High"
"C17H28O5","25C","Low"
"C17H28O5","45C","High"
"C17H28O5","45C","Low"
"C18H32O4","15C","High"
"C18H32O4","15C","Low"
"C18H32O4","25C","High"
"C18H32O4","25C","Low"
"C18H32O4","45C","High"
"C18H32O4","45C","Low"
"C20H40O2","15C","High"
"C20H40O2","15C","Low"
"C20H40O2","25C","High"
"C20H40O2","25C","Low"
"C20H40O2","45C","High"
"C20H40O2","45C","Low"
"C15H22O7","15C","High"
"C15H22O7","15C","Low"
"C15H22O7","25C","High"
"C15H22O7","25C","Low"
"C15H22O7","45C","High"
"C15H22O7","45C","Low"
"C16H26O6","15C","High"
"C16H26O6","15C","Low"
"C16H26O6","25C","High"
"C16H26O6","25C","Low"
"C16H26O6","45C","High"
"C16H26O6","45C","Low"
"C17H30O5","15C","High"
"C17H30O5","15C","Low"
"C17H30O5","25C","High"
"C17H30O5","25C","Low"
"C17H30O5","45C","High"
"C17H30O5","45C","Low"
"C18H34O4","15C","High"
"C18H34O4","25C","High"
"C18H34O4","25C","Low"
"C18H34O4","45C","High"
"C18H34O4","45C","Low"
"C15H24O7","15C","High"
"C15H24O7","25C","High"
"C15H24O7","45C","High"
"C16H28O6","15C","High"
"C16H28O6","15C","Low"
"C16H28O6","25C","High"
"C16H28O6","25C","Low"
"C16H28O6","45C","High"
"C16H28O6","45C","Low"
"C20H28O3","15C","High"
"C20H28O3","15C","Low"
"C20H28O3","45C","High"
"C20H28O3","45C","Low"
"C17H32O5","15C","High"
"C17H32O5","15C","Low"
"C17H32O5","25C","High"
"C17H32O5","25C","Low"
"C17H32O5","45C","High"
"C17H32O5","45C","Low"
"C15H26O7","15C","Low"
"C15H26O7","15C","High"
"C15H26O7","25C","High"
"C15H26O7","25C","Low"
"C15H26O7","45C","High"
"C15H26O7","45C","Low"
"C19H26O4","15C","Low"
"C19H26O4","15C","High"
"C19H26O4","25C","Low"
"C16H30O6","15C","High"
"C16H30O6","15C","Low"
"C16H30O6","25C","High"
"C16H30O6","25C","Low"
"C16H30O6","45C","High"
"C16H30O6","45C","Low"
"C20H30O3","15C","High"
"C20H30O3","15C","Low"
"C20H30O3","25C","High"
"C20H30O3","45C","High"
"C20H30O3","45C","Low"
"C17H20O6","25C","High"
"C17H20O6","45C","High"
"C17H20O6","45C","Low"
"C18H24O5","15C","High"
"C18H24O5","15C","Low"
"C18H24O5","25C","High"
"C18H24O5","25C","Low"
"C18H24O5","45C","High"
"C18H24O5","45C","Low"
"C15H28O7","15C","High"
"C15H28O7","15C","Low"
"C15H28O7","25C","High"
"C15H28O7","25C","Low"
"C15H28O7","45C","High"
"C15H28O7","45C","Low"
"C19H28O4","15C","High"
"C19H28O4","15C","Low"
"C19H28O4","25C","High"
"C19H28O4","25C","Low"
"C19H28O4","45C","High"
"C19H28O4","45C","Low"
"C17H22O6","15C","High"
"C17H22O6","15C","Low"
"C17H22O6","25C","High"
"C17H22O6","25C","Low"
"C17H22O6","45C","High"
"C17H22O6","45C","Low"
"C19H30O4","15C","High"
"C19H30O4","45C","High"
"C20H34O3","15C","High"
"C20H34O3","15C","Low"
"C20H34O3","25C","High"
"C20H34O3","45C","High"
"C20H34O3","45C","Low"
"C16H20O7","25C","High"
"C16H20O7","25C","Low"
"C16H20O7","45C","Low"
"C16H20O7","45C","High"
"C17H24O6","15C","High"
"C17H24O6","15C","Low"
"C17H24O6","25C","High"
"C17H24O6","25C","Low"
"C17H24O6","45C","High"
"C17H24O6","45C","Low"
"C18H28O5","45C","High"
"C19H32O4","15C","High"
"C19H32O4","15C","Low"
"C19H32O4","25C","High"
"C19H32O4","25C","Low"
"C19H32O4","45C","High"
"C19H32O4","45C","Low"
"C16H22O7","15C","High"
"C16H22O7","15C","Low"
"C16H22O7","25C","High"
"C16H22O7","25C","Low"
"C16H22O7","45C","High"
"C16H22O7","45C","Low"
"C17H26O6","15C","Low"
"C17H26O6","15C","High"
"C17H26O6","25C","Low"
"C17H26O6","25C","High"
"C17H26O6","45C","High"
"C17H26O6","45C","Low"
"C18H30O5","15C","High"
"C18H30O5","15C","Low"
"C18H30O5","25C","High"
"C18H30O5","25C","Low"
"C18H30O5","45C","High"
"C18H30O5","45C","Low"
"C19H34O4","25C","High"
"C19H34O4","45C","High"
"C19H34O4","45C","Low"
"C21H42O2","25C","Low"
"C15H20O8","15C","High"
"C15H20O8","25C","High"
"C15H20O8","25C","Low"
"C15H20O8","45C","High"
"C15H20O8","45C","Low"
"C16H24O7","15C","High"
"C16H24O7","15C","Low"
"C16H24O7","25C","High"
"C16H24O7","25C","Low"
"C16H24O7","45C","High"
"C16H24O7","45C","Low"
"C17H28O6","15C","Low"
"C17H28O6","25C","High"
"C17H28O6","25C","Low"
"C17H28O6","45C","High"
"C17H28O6","45C","Low"
"C18H32O5","15C","High"
"C18H32O5","15C","Low"
"C18H32O5","25C","High"
"C18H32O5","25C","Low"
"C18H32O5","45C","High"
"C18H32O5","45C","Low"
"C19H36O4","45C","High"
"C20H40O3","25C","High"
"C20H40O3","45C","High"
"C20H40O3","45C","Low"
"C15H22O8","15C","High"
"C15H22O8","15C","Low"
"C15H22O8","25C","High"
"C15H22O8","25C","Low"
"C15H22O8","45C","High"
"C16H26O7","45C","High"
"C20H26O4","15C","Low"
"C20H26O4","15C","High"
"C17H30O6","15C","Low"
"C17H30O6","15C","High"
"C17H30O6","25C","Low"
"C17H30O6","25C","High"
"C17H30O6","45C","High"
"C17H30O6","45C","Low"
"C19H38O4","15C","High"
"C19H38O4","15C","Low"
"C19H38O4","25C","High"
"C19H38O4","25C","Low"
"C19H38O4","45C","High"
"C19H38O4","45C","Low"
"C17H16O7","25C","Low"
"C17H16O7","45C","High"
"C17H16O7","45C","Low"
"C18H20O6","45C","High"
"C15H24O8","15C","High"
"C15H24O8","15C","Low"
"C15H24O8","25C","High"
"C15H24O8","25C","Low"
"C15H24O8","45C","Low"
"C15H24O8","45C","High"
"C19H24O5","15C","Low"
"C19H24O5","15C","High"
"C19H24O5","25C","Low"
"C19H24O5","45C","High"
"C16H28O7","15C","High"
"C16H28O7","15C","Low"
"C16H28O7","25C","High"
"C16H28O7","25C","Low"
"C16H28O7","45C","High"
"C16H28O7","45C","Low"
"C20H28O4","15C","Low"
"C20H28O4","25C","High"
"C20H28O4","25C","Low"
"C20H28O4","45C","High"
"C20H28O4","45C","Low"
"C17H32O6","45C","High"
"C18H36O5","25C","High"
"C18H36O5","45C","High"
"C17H18O7","45C","High"
"C17H18O7","45C","Low"
"C18H22O6","45C","High"
"C18H22O6","45C","Low"
"C15H26O8","15C","Low"
"C15H26O8","25C","High"
"C15H26O8","25C","Low"
"C15H26O8","45C","High"
"C15H26O8","45C","Low"
"C19H26O5","15C","High"
"C19H26O5","15C","Low"
"C19H26O5","25C","High"
"C19H26O5","25C","Low"
"C19H26O5","45C","High"
"C19H26O5","45C","Low"
"C16H30O7","15C","Low"
"C16H30O7","25C","High"
"C16H30O7","25C","Low"
"C16H30O7","45C","Low"
"C20H30O4","15C","High"
"C20H30O4","15C","Low"
"C20H30O4","25C","High"
